Orig Label	Perturbation	Kat	Wes	GOLD	Subtype	Perturbation.1	N1	Sentence Raw Text
F	4	F	F	F	F	0	access	OK , I thought , apparently some update means the app now requires access -- nothing new , apps need location to access photos , and I do n't plan on sharing any words on Twitter anyways , so why not .
I	4	I	I	I	I	0	account	In a statement to CBS News , Prudential terms of the to account holders , including the interest credited to their account .
I	4	I	I	I	I	0	acre	Mitigation banking could alleviate this problem by requiting functional equivalence between credits and the wetlands they are to compensate , and by requiting a higher ratio of to acre wetlands for certain projects.
I	4	I	I	I	I	0	activity	"And indeed , these fragments enter into the life of every urbanite , so that he acts out , in Wirth 's phrase , a number of "" segmented roles , "" which means place , to activity , taking on the coloring of each scene , like a chameleon :"
F	4	F	F	F	F	0	acts	Cindy 's comparing her to acts committed in the Bible .
F	4	F	F	F	F	0	addiction	It rehearses the addiction to this model , as the model of addiction : the closed loop of self-yielding and self-recovery , of self-addiction and self-abandonment , consumer and consumption , that make up the to addiction and the melodramas of uncertain agency.
J	4	J	J	J	J	0	adult	Your child may have matured greatly and probably is n't the kid who left last fall . * Talk to adult . *
J	4	J	J	J	J	0	adult	I learned early on I was n't afraid to speak to adults , and that you had to talk to them not as child to adult , but to adult .
J	4	J	J	J	J	0	adult	Seeing any girls ? - Ma , please . - to adult .
J	4	J	J	J	J	0	adult	Many times I got the feeling that these were much more like to adult conversations , in which the children were exposed to good language in the natural setting of it being their parent who was doing the talking .
F	4	F	F	F	F	0	age	Sidebar Raising the Medicare retirement to age 67 , a move favored by deficit hawks in both parties , might at first seem to be a reasonable adjustment .
F	4	F	F	F	F	0	age	Well , he wants to raise the gun limit to age 21 , which seems to me rather silly , ' cause you can fight in the armed services , you can pay all these damn taxes that they 're shoving down our throats unless you happen to have lake-front property in Texas , well , then you do n't pay
J	4	J	J	J	J	0	agency	The work reflected in this report was accomplished prior to the issuance of the Presidential Memorandum on Managing Government Records ( 11/28/11 ) , which requires each to agency 's records management program .
J	4	J	J	J	J	0	agent	General Remarks are to agent and are only available via agent products ( Matrix , MRIS Homes Mobile App as examples ) .
I	4	I	I	I	I	0	aisle	Emma could have gone through the store with her eyes closed , moving to aisle through perfect memory .
I	4	I	I	I	I	0	album	His sound always evolved to album since Rhoads died and I ca n't say Down To Earth was anything but yet another progression in his sound .
I	4	I	I	I	I	0	album	to album , Howe Gelb always seems to know how to infuse just the right amount of talented group of contributors .
I	4	I	I	I	I	0	alley	Not even to alley .
F	4	F	F	F	F	0	alot	a super take on this prompt I hate the C-word but I love you &; your blog Judy , I have something to award you with on my blog please come by and pick it up because I thin k you are a writer that I enjoy for so many reason you bring to alot of us thank you Janice Cancer ... the evil queen of devastation , tearing out the hearts of families who must carry on .
F	4	F	F	F	F	0	alternatives	to alternatives are needed .
F	4	J	F	F	F	0	analysts	The effort is aimed at essentially rewiring all the community 's separate and unique computerized networks , so that systems can talk to systems and to analysts .
J	4	J	J	J	J	0	angel	Why do n't you stop by later catch up ... to angel .
J	4	I	J	?	J	0	angel	I work solo , to angel , exclusively .
F	4	I	F	F	F	0	animals	Since dogs and cats are carnivorous ( cats more so than dogs ) , feeding them to food animals makes it feeding to animals ( dogs and cats that 's going to be a hard safety sell .
J	4	J	J	J	J	0	ankle	Because she would n't walk , they herded us into another gully and handcuffed us to ankle reinforcements .
F	4	F	F	F	F	0	antigen	We found that this antigen requires APC-dependent processing , as evidenced by the inability of metabolically inactivated APCs to present native to antigen plus Ia-specific T-T hybridomas .
F	4	F	F		F	0	antimatter	You transfer the to antimatter pods ?
J	4	J	J		J	0	antler	Brother Piltdown ... can we talk about this , to antler ?
F	4	F	F		F	0	anybody	If you compare to anybody else based on the color of their skin , YOU ARE RACIST elses skin matters more then the beliefs you share and/or do n't share , you are racist .
F	4	F	F		F	0	anybody	If you 're 13 , you do n't want to anybody to like -- to take your favorite video game away , but then -- I mean these people had come in and and said , ' You know what , maybe it 's time to take your leg away . 
F	4	F	F		F	0	anyone	Abuse is abuse , no matter the genders , by making it UNIVERSALLY wrong , by to anyone , can we make it so culturally unacceptable that there is some chance of stopping it .
F	4	F	F		F	0	anything	"When Muslims mention that Holocaust denial is illegal in many European countries , they are not necessarily "" comparing "" or "" equating "" to anything ."
I	4	I	I		I	0	apogee	No relationship was found between domestic violence calls and either the anomalistic ( to apogee ) or synodic ( full moon to full moon ) lunar cycles over the first 2 years , but more calls occurred at the third quarter during the 3rd year .
F	4	F	F		F	0	appeals	In addition the rules provide no right against of potential landmark to appeals courts in the US should commission trials result in guilty verdicts . 
J	4	I	F	J	J	0	apple	"Make sure you are looking at to apple snapshots , "" Roswell said ."
J	4	I	F	J	J	0	apple	Current to apple Comparisons Economic PhDs Women 95-99 cents Men 100 cents 
J	4	I	F	J	J	0	apple	Let 's go to current comparisons -- to apple comparisons .
J	4	I	F	J	J	0	apple	"Personally I think Romney should come out and say "" yeah , I 'm rich , I 'm successful -- you want me to lead you or the guy who has outspent any president EVER elected 4 or 8 years , has not improved unemployment ( when calculated to apple ) , has lied several times , has sold us a terrible bill in Obamacare , has increased taxes more than anybody ever has and run up the debt by 5 trillion ?"
F	4	F	F		F	0	apples	Yep , but remember , we 're no longer comparing to apples .
F	4	F			F	0	apples	You should compare to apples 
F	4	F			F	0	apples	( I 'd give you a Sanctuary comparison to try to keep to apples here , but the coefficients completely elude me . )
F	4	F			F	0	apples	Please when stating that churches are more ' efficient ' than ' the evil big government ' please compare to apples .
F	4	F			F	0	apples	Al Norman However , to objectively discredit their argument , you must compare to apples .
J	4	J			J	0	apples	We will have a choice of multiple insurers , and when comparing plans they will be presented as to apples .
F	4	F			F	0	apples	The reason being you are not comparing to apples .
F	4	F	F		F	0	apples	As I said , current projects around the world shows that nuclear is half the cost of wind , if we compare to apples .
J	4	J			J	0	apples	to apples requires using the same discount rate .
F	4	F			F	0	apples	So if one really wants to push the question as to who gives more to charity , it would be better to compare to apples by comparing the contributions of atheists/agnostics among both Democrats and Republicans - there 's a lot of both ( though it would be more accurate if we said ' liberals ' and ' conservatives ' ) .
J	4	J			J	0	apples	All this in one year , which I have to go back three years to match out on Smugmug , but let 's look at to apples here , one year on each site .
F	4	F			F	0	apples	And , in the other chart touting 30+% , MPAA was cited as a source , so I am comparing to apples here .
F	4	F			F	0	apples	Beyond the federal dollar requirements make sure you are comparing to apples .
F	4	F			F	0	apples	"And to the person who posted above about teacher salaries compared to "" college graduates "" in Chicago , make sure you 're comparing to apples ."
