Kat	Wes	GOLD	Subtype	Perturbation	N1	Sentence Raw Text
F	F	F	F	0	access	OK , I thought , apparently some update means the app now requires access -- nothing new , apps need location access to access photos , and I do n't plan on sharing any words on Twitter anyways , so why not .
I	I	I	I	0	account	In a statement to CBS News , Prudential terms of the account to account holders , including the interest credited to their account .
I	I	I	I	0	acre	Mitigation banking could alleviate this problem by requiting functional equivalence between credits and the wetlands they are to compensate , and by requiting a higher ratio of acre to acre wetlands for certain projects.
I	I	I	I	0	activity	And indeed , these fragments enter into the life of every urbanite , so that he acts out , in Wirth 's phrase , a number of " segmented roles , " which means place , activity to activity , taking on the coloring of each scene , like a chameleon :
F	F	F	F	0	acts	Cindy 's comparing her acts to acts committed in the Bible .
F	F	F	F	0	addiction	It rehearses the addiction to this model , as the model of addiction : the closed loop of self-yielding and self-recovery , of self-addiction and self-abandonment , consumer and consumption , that make up the addiction to addiction and the melodramas of uncertain agency.
J	J	J	J	0	adult	Your child may have matured greatly and probably is n't the kid who left last fall . * Talk adult to adult . *
J	J	J	J	0	adult	I learned early on I was n't afraid to speak to adults , and that you had to talk to them not as child to adult , but adult to adult .
J	J	J	J	0	adult	Seeing any girls ? - Ma , please . - Adult to adult .
J	J	J	J	0	adult	Many times I got the feeling that these were much more like adult to adult conversations , in which the children were exposed to good language in the natural setting of it being their parent who was doing the talking .
F	F	F	F	0	age	Sidebar Raising the Medicare retirement age to age 67 , a move favored by deficit hawks in both parties , might at first seem to be a reasonable adjustment .
F	F	F	F	0	age	Well , he wants to raise the gun limit age to age 21 , which seems to me rather silly , ' cause you can fight in the armed services , you can pay all these damn taxes that they 're shoving down our throats unless you happen to have lake-front property in Texas , well , then you do n't pay
J	J	J	J	0	agency	The work reflected in this report was accomplished prior to the issuance of the Presidential Memorandum on Managing Government Records ( 11/28/11 ) , which requires each agency to agency 's records management program .
J	J	J	J	0	agent	General Remarks are agent to agent and are only available via agent products ( Matrix , MRIS Homes Mobile App as examples ) .
I	I	I	I	0	aisle	Emma could have gone through the store with her eyes closed , moving aisle to aisle through perfect memory .
I	I	I	I	0	album	His sound always evolved album to album since Rhoads died and I ca n't say Down To Earth was anything but yet another progression in his sound .
I	I	I	I	0	album	Album to album , Howe Gelb always seems to know how to infuse just the right amount of talented group of contributors .
I	I	I	I	0	alley	Not even alley to alley .
F	F	F	F	0	alot	a super take on this prompt I hate the C-word but I love you &; your blog Judy , I have something to award you with on my blog please come by and pick it up because I thin k you are a writer that I enjoy for so many reason you bring alot to alot of us thank you Janice Cancer ... the evil queen of devastation , tearing out the hearts of families who must carry on .
F	F	F	F	0	alternatives	Alternatives to alternatives are needed .
J	F	F	F	0	analysts	The effort is aimed at essentially rewiring all the community 's separate and unique computerized networks , so that systems can talk to systems and analysts to analysts .
J	J	J	J	0	angel	Why do n't you stop by later catch up ... angel to angel .
I	J	?	J	0	angel	I work solo , angel to angel , exclusively .
I	F	F	F	0	animals	Since dogs and cats are carnivorous ( cats more so than dogs ) , feeding them to food animals makes it feeding animals to animals ( dogs and cats that 's going to be a hard safety sell .
J	J	J	J	0	ankle	Because she would n't walk , they herded us into another gully and handcuffed us ankle to ankle reinforcements .
F	F	F	F	0	antigen	We found that this antigen requires APC-dependent processing , as evidenced by the inability of metabolically inactivated APCs to present native antigen to antigen plus Ia-specific T-T hybridomas .
F	F		F	0	antimatter	You transfer the antimatter to antimatter pods ?
J	J		J	0	antler	Brother Piltdown ... can we talk about this , antler to antler ?
F	F		F	0	anybody	If you compare anybody to anybody else based on the color of their skin , YOU ARE RACIST elses skin matters more then the beliefs you share and/or do n't share , you are racist .
F	F		F	0	anybody	If you 're 13 , you do n't want anybody to anybody to like -- to take your favorite video game away , but then -- I mean these people had come in and and said , ' You know what , maybe it 's time to take your leg away . 
F	F		F	0	anyone	Abuse is abuse , no matter the genders , by making it UNIVERSALLY wrong , by anyone to anyone , can we make it so culturally unacceptable that there is some chance of stopping it .
F	F		F	0	anything	When Muslims mention that Holocaust denial is illegal in many European countries , they are not necessarily " comparing " or " equating " anything to anything .
I	I		I	0	apogee	No relationship was found between domestic violence calls and either the anomalistic ( apogee to apogee ) or synodic ( full moon to full moon ) lunar cycles over the first 2 years , but more calls occurred at the third quarter during the 3rd year .
F	F		F	0	appeals	In addition the rules provide no right against of potential landmark appeals to appeals courts in the US should commission trials result in guilty verdicts . 
I	F	J	J	0	apple	Make sure you are looking at apple to apple snapshots , " Roswell said .
I	F	J	J	0	apple	Current Apple to Apple Comparisons Economic PhDs Women 95-99 cents Men 100 cents 
I	F	J	J	0	apple	Let 's go to current comparisons -- apple to apple comparisons .
I	F	J	J	0	apple	Personally I think Romney should come out and say " yeah , I 'm rich , I 'm successful -- you want me to lead you or the guy who has outspent any president EVER elected 4 or 8 years , has not improved unemployment ( when calculated apple to apple ) , has lied several times , has sold us a terrible bill in Obamacare , has increased taxes more than anybody ever has and run up the debt by 5 trillion ?
F	F		F	0	apples	Yep , but remember , we 're no longer comparing apples to apples .
F	N/A		F	0	apples	You should compare apples to apples 
F	N/A		F	0	apples	( I 'd give you a Sanctuary comparison to try to keep apples to apples here , but the coefficients completely elude me . )
F	N/A		F	0	apples	Please when stating that churches are more ' efficient ' than ' the evil big government ' please compare apples to apples .
F	N/A		F	0	apples	Al Norman However , to objectively discredit their argument , you must compare apples to apples .
J	N/A		J	0	apples	We will have a choice of multiple insurers , and when comparing plans they will be presented as apples to apples .
F	N/A		F	0	apples	The reason being you are not comparing apples to apples .
F	F		F	0	apples	As I said , current projects around the world shows that nuclear is half the cost of wind , if we compare apples to apples .
J	N/A		J	0	apples	Apples to apples requires using the same discount rate .
F	N/A		F	0	apples	So if one really wants to push the question as to who gives more to charity , it would be better to compare apples to apples by comparing the contributions of atheists/agnostics among both Democrats and Republicans - there 's a lot of both ( though it would be more accurate if we said ' liberals ' and ' conservatives ' ) .
J	N/A		J	0	apples	All this in one year , which I have to go back three years to match out on Smugmug , but let 's look at apples to apples here , one year on each site .
F	N/A		F	0	apples	And , in the other chart touting 30+% , MPAA was cited as a source , so I am comparing apples to apples here .
F	N/A		F	0	apples	Beyond the federal dollar requirements make sure you are comparing apples to apples .
F	N/A		F	0	apples	And to the person who posted above about teacher salaries compared to " college graduates " in Chicago , make sure you 're comparing apples to apples .
J	N/A		J	0	apples	Comparing the value of an uncooked dry grain to a raw vegtable is not an apples to apples
F	N/A		F	0	apples	Since you wrote the article , it 'd be helpful if you actually completed the circle and chased down what the baselines actually are , so that we can compare apples to apples , instead of guessing about it .
F	F		F	0	apples	As for everything else : I have no idea why you resist doing your readers the basic service of making your comparison of apples to apples .
J	N/A		J	0	apples	Instead of telling us why we can manage to compare apples to oranges , please just give the apples to apples .
F	N/A		F	0	apples	Compare apples to apples .
F	N/A		F	0	apples	But to say that zarq is comparing apples to apples is just dishonest . 
F	N/A		F	0	apples	But to say that zarq is comparing apples to apples is just dishonest .
F	N/A		F	0	apples	You 'll be able to quickly compare apples to apples because there are fewer apples the best decision based on the information you have .
F	N/A		F	0	apples	Time comparisons give the illusion we 're comparing apples to apples with respect to effort .
F	N/A		F	0	apples	You have those concerns and I appreciate that , but I feel we 're comparing apples to apples -- detergents and soaps are harsh or contain harsh ingredients .
F	F		F	0	apples	I 'm not sure what ' quicker ' or ' slower ' means here , but I 'm pretty sure we 're not comparing apples to apples here .
J	N/A		J	0	apples	The image library provides a common basis for researchers to test the effectiveness of different approaches to image processing based on an apples to apples .
F	F		F	0	apples	You compare apples to apples , " he added focus on four areas , according to Warren : the role of the presidency in government , leadership , the candidates ' world view and America 's role internationally .
F	N/A		F	0	apples	For this type of static calculation , MODTRAN should be While it 's nearly impossible to compare apples to apples across such a wide spectrum of structures -- and built in such a wide range of climates -- certain green-build projects stand out , not just for their eco bells and whistles , but for the inspiration they offer architects , designers and developers alike .
F	N/A		F	0	apples	So when comparing damage estimates that you may see for Sandy to those here , to compare apples to apples , a rough method will be to take estimated insured losses and multiply by two .
F(p)	N/A		F	0	apples	Out of the Box discovered Apples to Apples when its inventor , 15 years ago .
I	F	J	J	0	apples	, 10% of the population owned 71% of the wealth ... in Australia in 1999-2000 , the richest 20% of households distribution to income distribution - it 's not apples to apples .
F	N/A		F	0	apples	I 'm not sure " market failures " and " silly government programs " are comparing apples to apples .
J	N/A		J	0	apples	So apples to apples , modern warming and MWP are similar sea levels equal to 1/2 meter higher than today , smaller glaciers worldwide than today , etc which all take many decades of " asynchronous " warming to achieve .
F	N/A		F	0	apples	Let 's compare apples to apples . woodsmanj35 what do you shoot out of your 257 Weatherby Mag ?
F	F		F	0	apples	Comparing Cal to other schools is not comparing apples to apples .
J	N/A		J	0	apples	If you want to compare to Germany , apples to apples , you have to consider that the tax credit for the physical plant is 0% . 
F	N/A		F	0	apples	And wind and solar are not comparable as apples to apples unless you 've accounted for the grid capacity factors .
F	N/A		F	0	apples	I 've read about the Heritage Foundation Study and it 's flawed because it does n't compare apples to apples ( age , education , types of degrees , responsibilities ) .
F(P)	N/A		F	0	apples	We like board games and are all for games if that is made clear beforehand but we 've been out a few times and after dinner people pull out Apples to Apples or the like and my husband gives me the " get me the hell out of here !
F	N/A		F	0	apples	If you want to compare apples to apples , the EROEI for petroleum , even Throw in the refining step , which is also 10/1 , and you have an EROEI of 5/1 or better for gasoline , compared to 1.2 or so for corn ethanol .
F	N/A		F	0	apples	This is one of the reasons why I gave Mr Pielke a hard time for not comparing apples to apples .
F	N/A		F	0	apples	Some humans assume to bare a lot of able agenda camera accuse are the way to bare the best discounts , which accept to requires a ample amount of reseek so youre comparing apples to apples .
F	N/A		F	0	apples	I think if you compare apples to apples , you will find that it is n't one versus several .
F	N/A		F	0	apples	What is the single purpose of the pipeline if you compare apples to apples , you will find that it is n't one versus several . 
F	N/A		F	0	apples	You know , Lief , the most direct thing about this is that it is far simpler to compare apples to apples , rather than grind up an orange , squeeze out the juiice , add apple juice , pectin &; sugar , pack in a mold and create an artificial apple .
F	N/A		F	0	apples	I am saying compare Apples to Apples ..
F	N/A		F	0	apples	That MEANS something ... it IS a note of accomplishment to have endured politically , economically , socially , etc , etc , etc , and to have that status after great moments and profound evident failures ... compare Apples to Apples is also the point !
F	N/A		F	0	apples	You are not comparing apples to apples .
F	N/A		F	0	apples	Are you comparing apples to apples when you zoom in ?
F	N/A		F	0	apples	I particularly love the " on average " part -- no attempts to compare apples to apples here !
F	N/A		F	0	apples	Anonymous Nooooo , I 'm talking about real statistics , not some idiot who thinks that all you need is a spreadsheet and does n't understand the concept of comparing apples to apples .
F	N/A		F	0	apples	Nor did the articles that you point to bother comparing apples to apples .
F	N/A		F	0	apples	So make sure you are comparing apples to apples .
F	F		F	0	apples	I indicate significantly , let us compare apples to apples below .
I	N/A		I	0	apples	Apples to apples , otter to otter , gleam to gleam , though only when her mother was n't there .
F	N/A		F	0	apples	First , we specifically define the category so we 're comparing apples to apples .
F	N/A		F	0	apples	And when you comparison shop , always compare apples to apples : Subtle differences in construction technique-like using countersunk screws instead of nails , careful painting , and rot prevention-can add considerably to the initial cost but can save thousands in the end for your home , consider a custom fence .
F	N/A		F	0	apples	And in order to make the com parison apples to apples , Starmine evaluated analysts ' returns relative to sector benchmarks , and then ranked analysts by how much they outperformed their respective sectors over the three-year period that ended June 2002 .
F	F		F	0	apples	" Ill be the first to admit it , we make it veiy difficult for consumers to compare apples to apples , so to speak , because eveiy company has a different package , " says Rich Horn , 2004 president of the Log Homes Council . "
F	N/A		F	0	apples	Alwil and Grisoft offer feature-limited free versions of their programs-but to compare apples to apples , we selected their paid versions .
F	N/A		F	0	apples	We start with almost 100 boot entries and divide them into groups -- narrow , medium , and wide lasts , plus a wild-card category for new technologies -- so we 're comparing apples to apples .
J	N/A		J	0	apples	Because energy info on old labels is calculated using a different standard than on new labels , only compare label data when it ' s apples to apples ( old to old , new to new ) .
F	N/A		F	0	apples	Can we just compare apples to apples , though ?
F	N/A		F	0	apples	This should have been done months ago , at least six weeks ago , when the president signed a law saying he would do this , submit a balanced budget in seven years using real , honest CBO numbers , but at least it 's been done now and they can talk apples to apples .
F	N/A		F	0	apples	and if it 's Florio , we have a lot to discuss as far as comparison , although the interesting thing is while you use what you have done and -- and if I run against Jim Florio , we both have held the same job and it -- so you can compare apples to apples -- but this is also about the future , about what you 'd do as a United States senator to help New Jersey .
F	F		F	0	apples	Again -- again , you 're not comparing apples to apples now .
F	N/A		F	0	apples	And when you are comparing apples to apples and in places where people do have a full range of choices rather than just the default choice of the car , transit performs well ?
J	N/A		J	0	apples	So , I 'm going to ask the exact same question to both candidates so America can have a fair and equitable look at how they compare , not apples to apples , not something different .
