Orig Label	Perturbation	True NPN	N1	Sentence Raw Text
N	3	N	access	OK , I thought , apparently some update means the app now requires access -- nothing new , apps need location access to photos , and I do n't plan on sharing any words on Twitter anyways , so why not .
Y	3	N	account	@!COURIC : In a statement to CBS News , Prudential terms of the account to holders , including the interest credited to their account .
Y	3	N	acid	acid to , dust to dust .
Y	3	N	acid	Let me tell you again : acid to , dust to dust .
Y	3	N	acre	( n219 ) Mitigation banking could alleviate this problem by requiting functional equivalence between credits and the wetlands they are to compensate , and by requiting a higher ratio of acre to wetlands for certain projects.
Y	3	N	activity	"And indeed , these fragments enter into the life of every urbanite , so that he acts out , in Wirth 's phrase , a number of "" segmented roles , "" which means place , activity to , taking on the coloring of each scene , like a chameleon :"
N	3	N	acts	Cindy 's comparing her acts to committed in the Bible .
N	3	N	addiction	It rehearses the addiction to this model , as the model of addiction : the closed loop of self-yielding and self-recovery , of self-addiction and self-abandonment , consumer and consumption , that make up the addiction to and the melodramas of uncertain agency.
Y	3	N	adult	Your child may have matured greatly and probably is n't the kid who left last fall . * Talk adult to . *
Y	3	N	adult	I learned early on I was n't afraid to speak to adults , and that you had to talk to them not as child to adult , but adult to .
Y	3	N	adult	Seeing any girls ? - Ma , please . - adult to .
Y	3	N	adult	Many times I got the feeling that these were much more like adult to conversations , in which the children were exposed to good language in the natural setting of it being their parent who was doing the talking .
N	3	N	age	Sidebar Raising the Medicare retirement age to 67 , a move favored by deficit hawks in both parties , might at first seem to be a reasonable adjustment .
N	3	N	age	@!DRUDGE : Well , he wants to raise the gun limit age to 21 , which seems to me rather silly , ' cause you can fight in the armed services , you can pay all these damn taxes that they 're shoving down our throats unless you happen to have lake-front property in Texas , well , then you do n't pay
Y	3	N	agency	The work reflected in this report was accomplished prior to the issuance of the Presidential Memorandum on Managing Government Records ( 11/28/11 ) , which requires each agency to 's records management program .
Y	3	N	agent	Internet Remarks are agent to consumer and are found on consumer products or websites ( Homesdatabase.com , lnf.com as examples ) . General Remarks are agent to and are only available via agent products ( Matrix , MRIS Homes Mobile App as examples ) .
Y	3	N	aisle	Emma could have gone through the store with her eyes closed , moving aisle to through perfect memory .
Y	3	N	album	His sound always evolved album to since Rhoads died and I ca n't say Down To Earth was anything but yet another progression in his sound .
Y	3	N	album	album to , Howe Gelb always seems to know how to infuse just the right amount of talented group of contributors .
Y	3	N	alley	Not even alley to .
N	3	N	alot	a super take on this prompt I hate the C-word but I love you &; your blog Judy , I have something to award you with on my blog please come by and pick it up because I thin k you are a writer that I enjoy for so many reason you bring alot to of us thank you Janice Cancer ... the evil queen of devastation , tearing out the hearts of families who must carry on .
N	3	N	alternatives	alternatives to are needed .
N	3	N	analysts	The effort is aimed at essentially rewiring all the community 's separate and unique computerized networks , so that systems can talk to systems and analysts to .
Y	3	N	angel	Why do n't you stop by later catch up ... angel to .
Y	3	N	angel	I work solo , angel to , exclusively .
N	3	N	animals	Since dogs and cats are carnivorous ( cats more so than dogs ) , feeding them to food animals makes it feeding animals to ( dogs and cats that 's going to be a hard safety sell .
Y	3	N	ankle	Because she would n't walk , they herded us into another gully and handcuffed us ankle to reinforcements .
N	3	N	antigen	We found that this antigen requires APC-dependent processing , as evidenced by the inability of metabolically inactivated APCs to present native antigen to plus Ia-specific T-T hybridomas .
N	3	N	antimatter	You transfer the antimatter to pods ?
Y	3	N	antler	This time Piltdown goes with the flow , pushes up and peers under the beam ... 147 NEW ANGLE 147 Fred is hanging on the other end . # FRED # Brother Piltdown ... can we talk about this , antler to ?
N	3	N	anybody	If you compare anybody to else based on the color of their skin , YOU ARE RACIST elses skin matters more then the beliefs you share and/or do n't share , you are racist .
N	3	N	anybody	If you 're 13 , you do n't want anybody to to like -- to take your favorite video game away , but then -- I mean these people had come in and and said , ' You know what , maybe it 's time to take your leg away . ' I 'm going , ' Whoa . ' You
N	3	N	anyone	Abuse is abuse , no matter the genders , by making it UNIVERSALLY wrong , by anyone to , can we make it so culturally unacceptable that there is some chance of stopping it .
N	3	N	anything	"When Muslims mention that Holocaust denial is illegal in many European countries , they are not necessarily "" comparing "" or "" equating "" anything to ."
Y	3	N	apogee	No relationship was found between domestic violence calls and either the anomalistic ( apogee to ) or synodic ( full moon to full moon ) lunar cycles over the first 2 years , but more calls occurred at the third quarter during the 3rd year .
N	3	N	appeals	"In addition the rules provide no right against of potential landmark appeals to courts in the US should commission trials result in guilty verdicts . // Hartmann told reporters that the commission trials would be open to the public , except in limited circumstances . """
N	3	N	apple	"Make sure you are looking at apple to snapshots , "" Roswell said ."
N	3	N	apple	Current apple to Comparisons Economic PhDs Women 95-99 cents Men 100 cents @!LIMBAUGH : ( Voiceover )
N	3	N	apple	Let 's go to current comparisons -- apple to comparisons .
N	3	N	apple	"Personally I think Romney should come out and say "" yeah , I 'm rich , I 'm successful -- you want me to lead you or the guy who has outspent any president EVER elected 4 or 8 years , has not improved unemployment ( when calculated apple to ) , has lied several times , has sold us a terrible bill in Obamacare , has increased taxes more than anybody ever has and run up the debt by 5 trillion ?"
N	3	N	apples	Yep , but remember , we 're no longer comparing apples to .
N	3	N	apples	You should compare apples to :
N	3	N	apples	"So trying to translate that gain into tangible benefit , I essentially get a "" free "" Heal for every 24 Heals I cast . ( I 'd give you a Sanctuary comparison to try to keep apples to here , but the coefficients completely elude me . )"
N	3	N	apples	Please when stating that churches are more ' efficient ' than ' the evil big government ' please compare apples to .
N	3	N	apples	one is committing to potential ( stressing potential ) a Buy-One-Get-Seven-Free ( but you 'll never really know how many extra reads we shared ) deal , the publishers and authors ought to be paid fairly . http : ... Al Norman However , to objectively discredit their argument , you must compare apples to .
N	3	N	apples	We will have a choice of multiple insurers , and when comparing plans they will be presented as apples to .
N	3	N	apples	The reason being you are not comparing apples to .
N	3	N	apples	As I said , current projects around the world shows that nuclear is half the cost of wind , if we compare apples to .
N	3	N	apples	apples to requires using the same discount rate .
N	3	N	apples	So if one really wants to push the question as to who gives more to charity , it would be better to compare apples to by comparing the contributions of atheists/agnostics among both Democrats and Republicans - there 's a lot of both ( though it would be more accurate if we said ' liberals ' and ' conservatives ' ) .
N	3	N	apples	All this in one year , which I have to go back three years to match out on Smugmug , but let 's look at apples to here , one year on each site .
N	3	N	apples	And , in the other chart touting 30+% , MPAA was cited as a source , so I am comparing apples to here .
N	3	N	apples	Beyond the federal dollar requirements make sure you are comparing apples to .
N	3	N	apples	"And to the person who posted above about teacher salaries compared to "" college graduates "" in Chicago , make sure you 're comparing apples to ."
N	3	N	apples	Comparing the value of an uncooked dry grain to a raw vegtable is not an apples to
N	3	N	apples	Since you wrote the article , it 'd be helpful if you actually completed the circle and chased down what the baselines actually are , so that we can compare apples to , instead of guessing about it .
N	3	N	apples	As for everything else : I have no idea why you resist doing your readers the basic service of making your comparison of apples to .
N	3	N	apples	Instead of telling us why we can manage to compare apples to oranges , please just give the apples to .
N	3	N	apples	Compare apples to .
N	3	N	apples	"But to say that zarq is comparing apples to is just dishonest . posted by paisley henosis at 8:34 PM on is newsfilter or not , regardless of the "" level "" of newsfilter ."
N	3	N	apples	But to say that zarq is comparing apples to is just dishonest .
N	3	N	apples	You 'll be able to quickly compare apples to because there are fewer apples the best decision based on the information you have .
N	3	N	apples	Time comparisons give the illusion we 're comparing apples to with respect to effort .
N	3	N	apples	You have those concerns and I appreciate that , but I feel we 're comparing apples to -- detergents and soaps are harsh or contain harsh ingredients .
N	3	N	apples	I 'm not sure what ' quicker ' or ' slower ' means here , but I 'm pretty sure we 're not comparing apples to here .
N	3	N	apples	The image library provides a common basis for researchers to test the effectiveness of different approaches to image processing based on an apples to .
N	3	N	apples	"You compare apples to , "" he added focus on four areas , according to Warren : the role of the presidency in government , leadership , the candidates ' world view and America 's role internationally ."
