Orig Label	Perturbation	Subtype	Orig Label.1	Perturbation.1	True NPN	N1	Sentence Raw Text
N	2	F	N	0	N	access	OK , I thought , apparently some update means the app now requires access -- nothing new , apps need location to access access photos , and I do n't plan on sharing any words on Twitter anyways , so why not .
Y	2	I	Y	0	N	account	@!COURIC : In a statement to CBS News , Prudential terms of the to account account holders , including the interest credited to their account .
Y	2	B	Y	0	N	acid	to acid acid , dust to dust .
Y	2	B	Y	0	N	acid	Let me tell you again : to acid acid , dust to dust .
Y	2	I	Y	0	N	acre	( n219 ) Mitigation banking could alleviate this problem by requiting functional equivalence between credits and the wetlands they are to compensate , and by requiting a higher ratio of to acre acre wetlands for certain projects.
Y	2	I	Y	0	N	activity	"And indeed , these fragments enter into the life of every urbanite , so that he acts out , in Wirth 's phrase , a number of "" segmented roles , "" which means place , to activity activity , taking on the coloring of each scene , like a chameleon :"
N	2	F	N	0	N	acts	Cindy 's comparing her to acts acts committed in the Bible .
N	2	F	N	0	N	addiction	It rehearses the addiction to this model , as the model of addiction : the closed loop of self-yielding and self-recovery , of self-addiction and self-abandonment , consumer and consumption , that make up the to addiction addiction and the melodramas of uncertain agency.
Y	2	J	Y	0	N	adult	Your child may have matured greatly and probably is n't the kid who left last fall . * Talk to adult adult . *
Y	2	J	Y	0	N	adult	I learned early on I was n't afraid to speak to adults , and that you had to talk to them not as child to adult , but to adult adult .
Y	2	J	Y	0	N	adult	Seeing any girls ? - Ma , please . - to adult adult .
Y	2	J	Y	0	N	adult	Many times I got the feeling that these were much more like to adult adult conversations , in which the children were exposed to good language in the natural setting of it being their parent who was doing the talking .
N	2	F	N	0	N	age	Sidebar Raising the Medicare retirement to age age 67 , a move favored by deficit hawks in both parties , might at first seem to be a reasonable adjustment .
N	2	F	N	0	N	age	@!DRUDGE : Well , he wants to raise the gun limit to age age 21 , which seems to me rather silly , ' cause you can fight in the armed services , you can pay all these damn taxes that they 're shoving down our throats unless you happen to have lake-front property in Texas , well , then you do n't pay
Y	2	J	Y	0	N	agency	The work reflected in this report was accomplished prior to the issuance of the Presidential Memorandum on Managing Government Records ( 11/28/11 ) , which requires each to agency agency 's records management program .
